address,creditDebit,manager,name,schedule,seniorDiscount,snap,url
"6th and University, Winter Market: Plaza Drugs 178 Bridge Street, Las Vegas, New Mexico, 87701",No,Gwen Mascarenas,Tri-County Farmers’ Market,"SUMMER: Saturdays and Wednesdays: 8 AM - Noon, May 4 - October 30. WINTER: Wednesdays & Saturdays: 8 AM - 12 PM, November - April",Yes,Yes,http://farmersmarketsnm.org/markets/tri-county-farmers-market/
"180 Richelieu Street, Roy, New Mexico, 87743",No,Shariyf Abdul Qabid,Roy Farmers Market,"Sundays: 8 AM - 1 PM, May 6 - October 27",No,No,http://farmersmarketsnm.org/markets/roy-farmers-market/
"Corner of 5th Street and Historic Route 66, Santa Rosa, New Mexico, 88435",No,JoAnn Rivera-Velasquez,Santa Rosa Farmers’ Market,"Thursdays: 4 PM - 6 PM, July 25 - October 17",Yes,No,http://farmersmarketsnm.org/markets/santa-rosa-farmers-market/
"8th and Central, Robinson Park, Albuquerque, New Mexico, 87102",Yes,Liz Skinner,Albuquerque Downtown Growers’ Market,"Saturdays: 8 AM - noon, April 13 - November 2",Yes,Yes,http://farmersmarketsnm.org/markets/albuquerque-downtown-growers-market/
"Corner of Rt. 66 Blvd. and Date Street, Tucumcari, New Mexico, 88401",No,Sandra Groves,Tucumcari Farmers’ Market,"Saturdays: 10 AM – Noon, Tuesdays: 5:30 – 7 PM, July 13 - October 12",Yes,Yes,http://farmersmarketsnm.org/markets/tucumcari-farmers-market/
"42609 US HIGHWAY 70, Portales, New Mexico, 88130",No,"Everyday, Year-round: 9 AM - 6 PM (May - November) Saturday & Sunday: 10 AM - 4 PM (December - April)",Veggie Shack,,Yes,No,http://farmersmarketsnm.org/markets/veggie-shack/
"Hot Springs & Mills Ave, Las Vegas, New Mexico, 87701",No,Cordia Sammeth & Dianne Lindsay,Tierra Encantada,"Wednesdays (Mid-May) and Saturdays: 8 AM - Sellout, April 20 - October 31. Winter Hours to be announced.",Yes,Yes,http://farmersmarketsnm.org/markets/tierra-encantada/
"First St. and Avenue B, Portales, New Mexico, 88130",No,Margie Plummer,Portales Farmers’ Market,"Mondays and Thursdays: 5 PM - sellout, June 1 - October 28",Yes,Yes,http://farmersmarketsnm.org/markets/portales-farmers-market/
"213 E Sumner Avenue, Fort Sumner, New Mexico, 88119",No,Janet Davis,Fort Sumner Farmers’ Market,"Year-round: Jan 25 - Dec 31, Summer, Saturday:  9 AM - 11 AM Winter, 1 - 3 PM Thursday: 4 PM - 6 PM Off season will be announced locally",Yes,Yes,http://farmersmarketsnm.org/markets/fort-sumner-farmers-market/
"3200 Block of N. Prince St., Clovis, New Mexico, 88101",No,,Clovis Farmers’ Market,,Yes,Yes,http://farmersmarketsnm.org/markets/clovis-farmers-market/
"Summer - Plaza Socorro, Winter - 407 Center St., Socorro, New Mexico, 87801",Yes,Savannah Morris,Socorro Farmers’ Market,Summer -Tuesdays: 5  PM - 7 PM (May - October)  Winter - Saturdays: 9 AM - 12 PM (November - April),Yes,Yes,http://farmersmarketsnm.org/markets/socorro-farmers-market/
"1090 North Bosque Loop, Bosque Farms, New Mexico, 87068",Yes,George Torres,Bosque Farms Growers’ Market,"Saturdays: 8 AM - noon, May 4 - October 26",Yes,Yes,http://farmersmarketsnm.org/markets/bosque-farms-growers-market/
"16 County Rd 91, Socorro, New Mexico, 87801",Yes,,Rosales Farms – Socorro,,Yes,Yes,http://farmersmarketsnm.org/markets/rosales-farms-socorro/
"807 Martinez Rd., Moriarty, New Mexico, 87035",Yes,Dean Schwebach,"Schwebach Farm, LLC","Mondays: Saturday: 10 AM - 6 PM, August 1 - October 31",Yes,Yes,http://farmersmarketsnm.org/markets/schwebach-farm-llc/
"Heritage Park  3447 Lambros Circle, Los Lunas, New Mexico, 87031",Yes,George Torres,Los Lunas Farmers’ Market,"Tuesday, Thursday (Aug): 4 PM - 7 PM, May 7 - October 29",Yes,Yes,http://farmersmarketsnm.org/markets/los-lunas-farmers-market/
